File	Title	Debate	Date	Decade	Election	Participants	Moderators	Speaker	Party	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Text
t000048	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	0	11	0	1	0	0	Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do? He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.
t000050	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	6	2	0	1	0	1	I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.
t000052	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	9	7	0	1	0	0	You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job. The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe.
t000058	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	2	1	0	1	0	0	Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives.
t000072	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	2	0	0	1	0	0	Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy in the history of our country. And by the way, now it’s being built again and it’s going up fast.
t000077	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	3	0	1	-1	2	Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd.
t000082	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	2	0	0	1	0	0	Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters.
t000092	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	4	7	0	3	-1	0	So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four-month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country. A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up. When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”
t000093	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	8	1	0	1	1	0	The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes.
t000094	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	19	16	0	2	0	5	Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history. Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why doesn’t he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety. Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his Administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely.
t000095	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	3	0	1	0	1	No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives.
t000097	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	1	0	1	0	0	… and people of Ohio are very proud of me. And you know how I found out? When .
t000102	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	11	1	0	2	0	0	Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama Administration, if you can believe that. Now the man got fired right after that happened, but that’s-
t000124	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	6	0	0	2	0	0	China ate your lunch, Joe. And no wonder your son goes in and, wha–, he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave your son three and a half million dollars?
t000145	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	0	6	0	1	0	0	It’s about equity and equality. It’s about decency. It’s about the Constitution. And we have never walked away from trying to require, acquire equity for everyone, equality for the whole of America. But we’ve never accomplished it, but we’ve never walked away from it like he has done. It is true, the reason I got in the race is when those people. . . Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, spewing–just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed, and they asked the president what he thought. He said, “There were very fine people on both sides.” No president’s ever said anything like that. .
t000146	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	1	7	0	6	1	0	… second point I’d make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said “All he ever wants to do is divide people, not unite people at all.” This is a president who has used everything as a dog whistle, to try to generate racist hatred, racist division. This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn’t do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man, this man is a savior of African-Americans? This man cares at all? This man’s done virtually nothing. Look, the fact is that you have to look at what he’s talks about. You have to look at what he did. And what he did has been disastrous for the African-American community.
t000147	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	1	0	0	1	0	0	You did a crime bill, 1994, where you called them super-predators. African-Americans are super-predators and they’ve never forgotten it. They’ve never forgotten it.
t000148	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	2	21	-1	15	0	0	So you did that, and they call you super-predator and I’m letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990–and that’s why, if you look at the polls, I’m doing better than any Republican has done in a long time, because they saw what you did. You call them super-predators, and you’ve called them worse than that. Because you look back at your testimony over the years, you’ve called them a lot worse than that. As far as the church is concerned, and as far as the generals are concerned, we just got the support of 200–250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every… Excuse me, Portland, the sheriff just came out today and he said, “I support President Trump.” I don’t think you have any law enforcement. You can’t even say the word law enforcement. Because if you say those words, you’re going to lose all of your radical left supporters. And why aren’t you saying those words, Joe? Why don’t you say the words law enforcement? Because you know what? If they called us in Portland, we would put out that fire in a half an hour. But they won’t do it, because they’re run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don’t. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they’ve got you wrapped around their finger, Joe, to a point where you don’t want to say anything about law and order. And I’ll tell you what, the people of this country want and demand law and order and you’re afraid to even say it.
t000149	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	0	8	1	9	0	1	Yes, there is. There’s systemic injustice in this country, in education and work and in law enforcement and the way in which it’s enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us. But there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I’m going to do as President of the United States is call a, a, together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we’re going to work this out. We’re going to work this out. So we change the way in which we have more transparency, in when these things happen. These cops aren’t happy to see what happened to George Floyd. These cops aren’t happy to see what happened to Breonna Taylor. Most don’t like it, but we have to have a system where people are held accountable when–and by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate.
t000151	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	2	0	1	0	0	… and burn down your stores and kill people all over the place- .
t000153	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	3	5	0	2	0	0	If you were a certain person, you had no status in life. It was sort of a reversal. And if you look at the people, we would pay people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas. And, and really, they were teaching people to hate our country. And I’m not going to do that. I’m not going to allow that to happen. We have to go back to the core values of this country. They were teaching people that our country is a horrible place. It’s a racist place. And they were teaching people to hate our country. And I’m not going to allow that to happen.
t000155	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	4	11	0	2	0	0	The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, uh, what insults them, what is demeaning to them. It’s important that people know. Many people don’t want to hurt other people’s feelings. But it’s amazing, it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a self-sense, a sense of self-esteem. It’s a little bit like how this guy and, and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, and grew up in Scranton. They look down on people who don’t have money. They look down on people who are of a different faith. They look down on people who are a different color. In fact, we’re all Americans. The only way we’re gonna bring this country together is bring everybody together. There’s nothing we cannot do, if we do it together. We can take this on, and we can defeat racism in America.
t000157	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	1	0	1	0	0	… don’t want to talk, like you, about law and order.
t000158	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	0	2	0	1	0	0	I’m in favor of law. You follow a little bit of order- .
t000159	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	0	2	0	2	0	0	Law and order with justice, where people get treated fairly.
t000160	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	2	0	0	1	0	0	And the fact of the matter is, violent crime went down 17 percent, 15 percent in our Administration. It’s gone up on his watch.
t000162	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	1	1	0	1	0	-1	I think it’s a party issue. You can bring in a couple of examples but if you look at Chicago, what’s going on in Chicago where, uh, 53 people were shot and eight died. Shot. If you look at New York where it’s going up, like nobody’s ever seen anything. The numbers are going up a 100, 150, 200 percent, uh, crime, it is crazy what’s going on . . .
t000163	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	1	0	1	0	0	. . . and he doesn’t want to say law and order because he can’t because he’ll lose his radical left supporters and once he does that, it’s over with. But if he ever got to run this country, and they ran it the way he would want to run it, we would have. . .
t000166	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	1	6	0	1	0	1	I was raised in the suburbs. This is not 1950. All these dog whistles and racism don’t work anymore. Suburbs are by and large integrated. There’s as many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past. What’s, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They’re dying in the suburbs. His failure to deal with the environment, they’re being flooded, they’re being burned out because his refusal to do anything. That’s why the suburbs are in trouble.
t000167	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	2	7	0	9	0	2	Look, what I support is the police having the opportunity to deal with the problems they face and I’m totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding, in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before, where the officers get to know the people in the communities. That’s when crime went down, it didn’t go up. It went down. And so we have to be engaged with . . .
t000168	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	0	0	1	0	0	That’s not what they are talking about, Chris. That’s not what it . . . He’s talking about defunding the police.
t000169	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	2	0	3	0	0	He doesn’t have any law support. He has no law enforcement support. Almost nothing.
t000173	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	1	0	2	0	0	No, no. Think about it. Name one law enforcement group that came out in support of you.
t000174	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	0	0	0	2	0	0	I don’t hold public office, now. I am a former Vice-President. I’ve made it clear. I’ve made it clear in my public statements that the violence should be prosecuted. It should be prosecuted, and anyone who commits it should be prosecuted.
t000176	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	1	1	0	1	0	0	. . .to get the killer of a young man in the middle of the street, they shot him. For three days Portland didn’t do anything.
